#	value_id	factor	type	 text
43	13:48,9:19,15:100,14:70	output	您好，请前往08-10/27-37号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:100,14:71	output	您好，请前往08-10/27-37号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:100,14:72	output	您好，请前往27-37号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:100,14:73	output	您好，请前往09-16/42-47号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:100,14:74	output	您好，请前往27-37/42-49号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:100,14:75	output	您好，请前往11-53号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:100,14:76	output	您好，请前往50-72号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:100,14:77	output	您好,请前往P,Q,R,S,T,U号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:100,14:78	output	您好,请前往P,Q,R,S,T,U号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:100,14:79	output	您好,请前往P,Q,R,S,T,U号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:100,14:80	output	您好,请前往P,Q,R,S,T,U号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:100,14:81	output	您好,请前往P,Q,R,S,T,U号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:100,14:82	output	您好,请前往H,J,K,L,M,N号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:100,14:83	output	您好,请前往H,J,K,L,M,N号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:100,14:84	output	您好,请前往H,J,K,L,M,N号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:100,14:85	output	您好,请前往H,J,K,L,M,N号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:100,14:86	output	您好,请前往M08,M09号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:100,14:87	output	您好,请前往H,J,K,L,M,N号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:100,14:88	output	您好,请前往H,J,K,L,M,N号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:100,14:89	output	您好,请前往H,J,K,L,M,N号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:100,14:90	output	您好,请前往H,J,K,L,M,N号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:100,14:91	output	您好,请前往H,J,K,L,M,N号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:100,14:92	output	您好,请前往H,J,K,L,M,N号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:100,14:93	output	您好,请前往H,J,K,L,M,N号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:100,14:94	output	您好,请前往H,J,K,L,M,N号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:100,14:95	output	您好,请前往H,J,K,L,M,N号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:100,14:96	output	您好,请前往H,J,K,L,M,N号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:100,14:97	output	您好,请前往H,J,K,L,M,N号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:100,14:98	output	您好,请前往H,J,K,L,M,N号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:20,15:100,14:49	output	您好，您即将乘坐的航班出发大厅在T1航站楼,请先乘坐T1、T2间的免费摆渡车前往T1航站楼，随后请前往11-26号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:20,15:100,14:50	output	您好，您即将乘坐的航班出发大厅在T1航站楼,请先乘坐T1、T2间的免费摆渡车前往T1航站楼，随后请前往11-26号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:20,15:100,14:51	output	您好，您即将乘坐的航班出发大厅在T1航站楼,请先乘坐T1、T2间的免费摆渡车前往T1航站楼，随后请前往11-26号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:20,15:100,14:52	output	您好，您即将乘坐的航班出发大厅在T1航站楼,请先乘坐T1、T2间的免费摆渡车前往T1航站楼，随后请前往11-26号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:20,15:100,14:53	output	您好，您即将乘坐的航班出发大厅在T1航站楼,请先乘坐T1、T2间的免费摆渡车前往T1航站楼，随后请前往11-26号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:20,15:100,14:54	output	您好，您即将乘坐的航班出发大厅在T1航站楼,请先乘坐T1、T2间的免费摆渡车前往T1航站楼，随后请前往11-26号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:20,15:100,14:55	output	您好，您即将乘坐的航班出发大厅在T1航站楼,请先乘坐T1、T2间的免费摆渡车前往T1航站楼，随后请前往27-37号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:20,15:100,14:56	output	您好，您即将乘坐的航班出发大厅在T1航站楼,请先乘坐T1、T2间的免费摆渡车前往T1航站楼，随后请前往27-37号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:20,15:100,14:57	output	您好，您即将乘坐的航班出发大厅在T1航站楼,请先乘坐T1、T2间的免费摆渡车前往T1航站楼，随后请前往27-37号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:20,15:100,14:58	output	您好，您即将乘坐的航班出发大厅在T1航站楼,请先乘坐T1、T2间的免费摆渡车前往T1航站楼，随后请前往27-37号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:20,15:100,14:59	output	您好，您即将乘坐的航班出发大厅在T1航站楼,请先乘坐T1、T2间的免费摆渡车前往T1航站楼，随后请前往27-37号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:20,15:100,14:60	output	您好，您即将乘坐的航班出发大厅在T1航站楼,请先乘坐T1、T2间的免费摆渡车前往T1航站楼，随后请前往27-37号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:20,15:100,14:61	output	您好，您即将乘坐的航班出发大厅在T1航站楼,请先乘坐T1、T2间的免费摆渡车前往T1航站楼，随后请前往11-27号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:20,15:100,14:62	output	您好，您即将乘坐的航班出发大厅在T1航站楼,请先乘坐T1、T2间的免费摆渡车前往T1航站楼，随后请前往1-8号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:20,15:100,14:63	output	您好，您即将乘坐的航班出发大厅在T1航站楼,请先乘坐T1、T2间的免费摆渡车前往T1航站楼，随后请前往08-10/27-37号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:20,15:100,14:64	output	您好，您即将乘坐的航班出发大厅在T1航站楼,请先乘坐T1、T2间的免费摆渡车前往T1航站楼，随后请前往08-10/27-37号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:20,15:100,14:65	output	您好，您即将乘坐的航班出发大厅在T1航站楼,请先乘坐T1、T2间的免费摆渡车前往T1航站楼，随后请前往08-10/27-37号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:20,15:100,14:66	output	您好，您即将乘坐的航班出发大厅在T1航站楼,请先乘坐T1、T2间的免费摆渡车前往T1航站楼，随后请前往27-37号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:20,15:100,14:67	output	您好，您即将乘坐的航班出发大厅在T1航站楼,请先乘坐T1、T2间的免费摆渡车前往T1航站楼，随后请前往08-10/27-37号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:20,15:100,14:68	output	您好，您即将乘坐的航班出发大厅在T1航站楼,请先乘坐T1、T2间的免费摆渡车前往T1航站楼，随后请前往08-10/27-37号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:20,15:100,14:69	output	您好，您即将乘坐的航班出发大厅在T1航站楼,请先乘坐T1、T2间的免费摆渡车前往T1航站楼，随后请前往08-10/27-28/42/43号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:20,15:100,14:70	output	您好，您即将乘坐的航班出发大厅在T1航站楼,请先乘坐T1、T2间的免费摆渡车前往T1航站楼，随后请前往08-10/27-37号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:20,15:100,14:71	output	您好，您即将乘坐的航班出发大厅在T1航站楼,请先乘坐T1、T2间的免费摆渡车前往T1航站楼，随后请前往08-10/27-37号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:20,15:100,14:72	output	您好，您即将乘坐的航班出发大厅在T1航站楼,请先乘坐T1、T2间的免费摆渡车前往T1航站楼，随后请前往27-37号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:20,15:100,14:73	output	您好，您即将乘坐的航班出发大厅在T1航站楼,请先乘坐T1、T2间的免费摆渡车前往T1航站楼，随后请前往09-16/42-47号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:20,15:100,14:74	output	您好，您即将乘坐的航班出发大厅在T1航站楼,请先乘坐T1、T2间的免费摆渡车前往T1航站楼，随后请前往27-37/42-49号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:20,15:100,14:75	output	您好，您即将乘坐的航班出发大厅在T1航站楼,请先乘坐T1、T2间的免费摆渡车前往T1航站楼，随后请前往11-53号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:20,15:100,14:76	output	您好，您即将乘坐的航班出发大厅在T1航站楼,请先乘坐T1、T2间的免费摆渡车前往T1航站楼，随后请前往50-72号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:19,15:100,14:77	output	您好，您即将乘坐的航班出发大厅在T2航站楼,请先乘坐T1、T2间的免费摆渡车前往T2航站楼，随后请前往P,Q,R,S,T,U号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:19,15:100,14:78	output	您好，您即将乘坐的航班出发大厅在T2航站楼,请先乘坐T1、T2间的免费摆渡车前往T2航站楼，随后请前往P,Q,R,S,T,U号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:19,15:100,14:79	output	您好，您即将乘坐的航班出发大厅在T2航站楼,请先乘坐T1、T2间的免费摆渡车前往T2航站楼，随后请前往P,Q,R,S,T,U号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:19,15:100,14:80	output	您好，您即将乘坐的航班出发大厅在T2航站楼,请先乘坐T1、T2间的免费摆渡车前往T2航站楼，随后请前往P,Q,R,S,T,U号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:19,15:100,14:81	output	您好，您即将乘坐的航班出发大厅在T2航站楼,请先乘坐T1、T2间的免费摆渡车前往T2航站楼，随后请前往P,Q,R,S,T,U号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:19,15:100,14:82	output	您好，您即将乘坐的航班出发大厅在T2航站楼,请先乘坐T1、T2间的免费摆渡车前往T2航站楼，随后请前往H,J,K,L,M,N号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:19,15:100,14:83	output	您好，您即将乘坐的航班出发大厅在T2航站楼,请先乘坐T1、T2间的免费摆渡车前往T2航站楼，随后请前往H,J,K,L,M,N号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:19,15:100,14:84	output	您好，您即将乘坐的航班出发大厅在T2航站楼,请先乘坐T1、T2间的免费摆渡车前往T2航站楼，随后请前往H,J,K,L,M,N号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:19,15:100,14:85	output	您好，您即将乘坐的航班出发大厅在T2航站楼,请先乘坐T1、T2间的免费摆渡车前往T2航站楼，随后请前往H,J,K,L,M,N号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:19,15:100,14:86	output	您好，您即将乘坐的航班出发大厅在T2航站楼,请先乘坐T1、T2间的免费摆渡车前往T2航站楼，随后请前往M08,M09号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:19,15:100,14:87	output	您好，您即将乘坐的航班出发大厅在T2航站楼,请先乘坐T1、T2间的免费摆渡车前往T2航站楼，随后请前往H,J,K,L,M,N号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:19,15:100,14:88	output	您好，您即将乘坐的航班出发大厅在T2航站楼,请先乘坐T1、T2间的免费摆渡车前往T2航站楼，随后请前往H,J,K,L,M,N号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:19,15:100,14:89	output	您好，您即将乘坐的航班出发大厅在T2航站楼,请先乘坐T1、T2间的免费摆渡车前往T2航站楼，随后请前往H,J,K,L,M,N号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:19,15:100,14:90	output	您好，您即将乘坐的航班出发大厅在T2航站楼,请先乘坐T1、T2间的免费摆渡车前往T2航站楼，随后请前往H,J,K,L,M,N号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:19,15:100,14:91	output	您好，您即将乘坐的航班出发大厅在T2航站楼,请先乘坐T1、T2间的免费摆渡车前往T2航站楼，随后请前往H,J,K,L,M,N号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:19,15:100,14:92	output	您好，您即将乘坐的航班出发大厅在T2航站楼,请先乘坐T1、T2间的免费摆渡车前往T2航站楼，随后请前往H,J,K,L,M,N号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:19,15:100,14:93	output	您好，您即将乘坐的航班出发大厅在T2航站楼,请先乘坐T1、T2间的免费摆渡车前往T2航站楼，随后请前往H,J,K,L,M,N号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:19,15:100,14:94	output	您好，您即将乘坐的航班出发大厅在T2航站楼,请先乘坐T1、T2间的免费摆渡车前往T2航站楼，随后请前往H,J,K,L,M,N号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:19,15:100,14:95	output	您好，您即将乘坐的航班出发大厅在T2航站楼,请先乘坐T1、T2间的免费摆渡车前往T2航站楼，随后请前往H,J,K,L,M,N号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:19,15:100,14:96	output	您好，您即将乘坐的航班出发大厅在T2航站楼,请先乘坐T1、T2间的免费摆渡车前往T2航站楼，随后请前往H,J,K,L,M,N号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:19,15:100,14:97	output	您好，您即将乘坐的航班出发大厅在T2航站楼,请先乘坐T1、T2间的免费摆渡车前往T2航站楼，随后请前往H,J,K,L,M,N号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:19,15:100,14:98	output	您好，您即将乘坐的航班出发大厅在T2航站楼,请先乘坐T1、T2间的免费摆渡车前往T2航站楼，随后请前往H,J,K,L,M,N号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:99,14:49	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:99,14:50	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:99,14:51	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:99,14:52	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:99,14:53	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:99,14:54	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:99,14:55	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:99,14:56	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:99,14:57	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:99,14:58	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:99,14:59	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:99,14:60	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:99,14:61	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:99,14:62	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:99,14:63	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:99,14:64	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:99,14:65	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:99,14:66	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:99,14:67	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:99,14:68	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:99,14:69	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:99,14:70	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:99,14:71	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:99,14:72	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:99,14:73	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:99,14:74	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:99,14:75	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:99,14:76	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:99,14:77	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:99,14:78	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:99,14:79	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:99,14:80	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:99,14:81	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:99,14:82	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:99,14:83	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:99,14:84	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:99,14:85	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:99,14:86	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:99,14:87	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:99,14:88	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:99,14:89	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:99,14:90	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:47,9:20,15:99,14:91	output	您好，现距离您的起飞时间已不足45分钟，请尽快前往1-3号紧急值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
